year,team,seed,opponent,win margin,previous tournament,tournament two years back,win percent,wins in last 10,percent of wins away,coach tenure,total seasons coaching,coach final fours,coach championships,coach NBA draft picks,automatic bid,RPI,Sagarin/ SRS,SOS,Total Games,ppg,ppg allowed,Efficiency,Efficiency Allowed,Rbs Per Game,Rbs Per Game Allowed,Steals Per Game,Steals Per Game Allowed,Blocks Per Game,FG%,3-pt%,TS%,free throw rate,assists per game,freshmen play time,sophomore play time,junior play time,senior play time,opp_seed,opp_previous tournament,opp_tournament two years back,opp_win%,opp_wins in last 10,opp_percent of wins away,opp_coach tenure,opp_total seasons coaching,opp_coach final fours,opp_coach championships,opp_coach NBA draft picks,opp_automatic bid,opp_RPI,opp_Sagarin/ SRS,opp_SOS,opp_Total Games,opp_Points Scored Per Game,opp_Points Allowed Per Game,opp_Efficiency,opp_Efficiency Allowed,opp_Rbs Per Game,opp_Rbs Per Game Allowed,opp_Steals Per Game,opp_Steals Per Game Allowed,opp_Blocks Per Game,opp_FG%,opp_3-pt%,opp_TS%,opp_free throw rate,opp_assists per game,opp_freshmen play time,opp_sophomore play time,opp_junior play time,opp_senior play time,Round
1986,Duke,1,miss valley,7,0,1,0.925,10,0.27027027,6,11,0,0,6,1,,4,21,40,79.8,67.2,,,,,,,,,,,,,,,,,16,0,0,0.64516129,9,0.35,3,3,0,0,0,1,,181,266,31,72.8,68.1,,,,,,,,,,,,,,,,,1
1986,Kansas,1,unc a and t,25,0,1,0.897435897,10,0.257142857,3,5,0,0,9,1,,2,10,39,80.3,67.5,,,,,,,,,,,,,,,,,16,0,0,0.733333333,10,0.363636364,7,15,0,0,2,1,,213,279,30,62.7,57.8,,,,,,,,,,,,,,,,,1
1986,Kentucky,1,davidson,20,0,1,0.888888889,10,0.34375,1,17,0,0,20,1,,7,23,36,74.1,61.4,,,,,,,,,,,,,,,,,16,0,0,0.64516129,7,0.15,5,15,0,0,1,1,,134,197,31,67.7,64,,,,,,,,,,,,,,,,,1
1986,St John's,1,mont st,9,0,1,0.861111111,9,0.290322581,21,21,1,0,27,1,,16,47,36,77.1,66.2,,,,,,,,,,,,,,,,,16,0,0,0.451612903,7,0.214285714,3,3,0,0,0,1,,124,113,31,78,78.3,,,,,,,,,,,,,,,,,1
1986,Georgia Tech,2,marist,15,0,0,0.794117647,7,0.333333333,5,11,0,0,6,0,,6,2,34,73.8,63.7,,,,,,,,,,,,,,,,,15,0,0,0.612903226,9,0.368421053,2,7,0,0,0,1,,208,254,31,66.4,64.6,,,,,,,,,,,,,,,,,1
1986,Louisville,2,drexel,20,0,1,0.820512821,10,0.21875,15,15,2,0,22,1,,8,9,39,79.3,69.1,,,,,,,,,,,,,,,,,15,0,0,0.612903226,9,0.368421053,9,9,0,0,4,1,,210,249,31,74.9,73.8,,,,,,,,,,,,,,,,,1
1986,Michigan,2,akron,6,0,0,0.84375,8,0.259259259,6,6,0,0,9,1,,3,15,32,76.7,64.4,,,,,,,,,,,,,,,,,15,0,0,0.733333333,8,0.363636364,2,5,0,0,0,1,,130,196,30,72.7,68.8,,,,,,,,,,,,,,,,,1
1986,Syracuse,2,brown,49,0,1,0.8125,7,0.269230769,10,10,0,0,11,0,,5,43,32,83.4,68.3,,,,,,,,,,,,,,,,,15,0,0,0.592592593,7,0.375,5,5,0,0,0,1,,215,222,27,72.4,74.6,,,,,,,,,,,,,,,,,1
1986,Indiana,3,clev st,-4,0,1,0.724137931,8,0.333333333,15,21,0,1,27,0,,11,3,29,76.3,68,,,,,,,,,,,,,,,,,14,0,0,0.878787879,10,0.413793103,3,3,0,0,0,1,,27,182,33,87.1,70.9,,,,,,,,,,,,,,,,,1
1986,Memphis,3,ball st,32,0,1,0.823529412,6,0.285714286,7,15,1,0,9,0,,12,54,34,82.1,67.9,,,,,,,,,,,,,,,,,14,0,0,0.677419355,7,0.380952381,4,4,0,0,1,1,,128,165,31,73,70.9,,,,,,,,,,,,,,,,,1
1986,Notre Dame,3,ark little rock,-7,0,0,0.793103448,8,0.304347826,15,16,0,0,22,1,,14,68,29,78.9,65.4,,,,,,,,,,,,,,,,,14,0,0,0.676470588,9,0.347826087,2,2,0,0,0,1,,121,210,34,79.8,73.5,,,,,,,,,,,,,,,,,1
1986,UNC,3,utah,12,0,1,0.823529412,5,0.214285714,25,25,2,1,55,0,,1,34,34,86.6,69,,,,,,,,,,,,,,,,,14,0,0,0.666666667,8,0.25,3,9,0,0,6,0,,81,106,30,72,69.4,,,,,,,,,,,,,,,,,1
1986,Georgetown,4,texas tech,6,0,1,0.75,6,0.375,14,14,3,1,15,0,,15,42,32,76.7,66,,,,,,,,,,,,,,,,,13,0,0,0.548387097,7,0.470588235,16,19,0,0,11,1,,89,60,31,62.1,63.4,,,,,,,,,,,,,,,,,1
1986,Illinois,4,fairfield,24,0,1,0.6875,7,0.318181818,11,24,0,0,20,0,,9,19,32,72.7,61.8,,,,,,,,,,,,,,,,,13,0,0,0.774193548,9,0.5,1,1,0,0,0,1,,160,224,31,65.1,62.1,,,,,,,,,,,,,,,,,1
1986,Oklahoma,4,northeastern,6,0,1,0.742857143,4,0.192307692,6,12,0,0,8,0,,13,33,35,85.9,76.5,,,,,,,,,,,,,,,,,13,0,1,0.838709677,9,0.384615385,14,14,0,0,7,1,,91,214,31,74.3,65.3,,,,,,,,,,,,,,,,,1
1986,UNLV,4,louisiana monroe,23,0,1,0.868421053,8,0.424242424,13,18,0,0,38,1,,23,66,38,78.6,68.2,,,,,,,,,,,,,,,,,13,0,0,0.666666667,7,0.3,5,5,0,0,0,1,,75,154,30,71,65.2,,,,,,,,,,,,,,,,,1
1986,Alabama,5,xavier,17,0,1,0.727272727,6,0.291666667,6,6,0,0,7,0,,18,31,33,75,67.4,,,,,,,,,,,,,,,,,12,0,0,0.833333333,9,0.4,1,1,0,0,0,1,,52,122,30,78.4,71,,,,,,,,,,,,,,,,,1
1986,Maryland,5,pepperdine,5,0,1,0.575757576,7,0.368421053,15,26,0,0,31,0,,21,4,33,69.5,65.5,,,,,,,,,,,,,,,,,12,0,0,0.833333333,9,0.36,7,7,0,0,7,1,,51,157,30,77.8,68.2,,,,,,,,,,,,,,,,,1
